Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
luaD_rawrunprotected,0.015056,0.015056,0.0,0.0,lux_lua55.dll,luaD_rawrunprotected,ldo.c,0x18000cbd0
lux::simulation::na1::cost::Tasks::longTask_ResumeCoro1,0.015049,0.015049,0.0,0.0,native_lua_complete_tasks.exe,lux::simulation::na1::cost::Tasks::longTask_ResumeCoro1(),Tasks.hpp,0x14004ec80
"std::vector<lux::simulation::script::ScriptAwaitableId,std::allocator<lux::simulation::script::ScriptAwaitableId> >::capacity",0.014997,0.014997,0.0,0.0,lux_engine_simulation_script.dll,"std::vector<lux::simulation::script::ScriptAwaitableId,std::allocator<lux::simulation::script::ScriptAwaitableId> >::capacity",vector,0x18008eaf7
lua_settop,0.014997,0.014997,0.0,0.0,lux_lua55.dll,lua_settop,lapi.c,0x1800011d0
"std::vector<lux::simulation::script::ScriptAwaitableId,std::allocator<lux::simulation::script::ScriptAwaitableId> >::push_back",0.014985,0.014985,0.0,0.0,lux_engine_simulation_script.dll,"std::vector<lux::simulation::script::ScriptAwaitableId,std::allocator<lux::simulation::script::ScriptAwaitableId> >::push_back",vector,0x18008eb22
"std::vector<lux::simulation::script::detail::ScriptExecution::ExecutionInstance,std::allocator<lux::simulation::script::detail::ScriptExecution::ExecutionInstance> >::size",0.014970,0.014970,0.0,0.0,lux_engine_simulation_script.dll,"std::vector<lux::simulation::script::detail::ScriptExecution::ExecutionInstance,std::allocator<lux::simulation::script::detail::ScriptExecution::ExecutionInstance> >::size",vector,0x180077b33
lux::simulation::script::ScriptBackendContinuation::operator bool,0.014941,0.014941,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::ScriptBackendContinuation::operator bool,ScriptRuntime.hpp,0x1800c477d
lux::simulation::script::detail::ScriptExecution::releaseSource,0.014903,0.014903,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::releaseSource(struct lux::simulation::script::detail::ScriptExecution::AwaitableRecord &),ScriptExecution.hpp,0x180066a00
lux::simulation::script::detail::ScriptExecution::AwaitableStorage::find,0.014902,0.014902,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::AwaitableStorage::find,ScriptExecution.hpp,0x18006c7bd
luaD_precall,0.014814,0.014814,0.0,0.0,lux_lua55.dll,luaD_precall,ldo.c,0x18000d910
lux::simulation::script::detail::ScriptInstances::beginConstruction::__l2::<lambda_1>::()::__l2::<lambda_1>::operator(),0.014785,0.014785,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptInstances::beginConstruction::__l2::<lambda_1>::()::__l2::<lambda_1>::operator(),ScriptInstances.cpp,0x180034e20
lux::simulation::script::ScriptOwnedBytes::{ctor},0.014605,0.014605,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::ScriptOwnedBytes::{ctor},ScriptRuntime.hpp,0x180093f23
lux::simulation::script::detail::ScriptBindings::eventEndpoint,0.014534,0.014534,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptBindings::eventEndpoint(unsigned int),ScriptBindings.cpp,0x18002d360
lux::simulation::script::operator==,0.014248,0.014248,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::operator==,ScriptRuntimeAccess.hpp,0x1800c685f
lux::simulation::script::operator==,0.013633,0.013633,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::operator==,ScriptRuntimeAccess.hpp,0x18008a131
luaH_psetshortstr,0.013359,0.013359,0.0,0.0,lux_lua55.dll,luaH_psetshortstr,ltable.c,0x180023890
